generation,train_score,test_score
625,-6.3,98.0
626,-15.8,89.0
627,-8.4,94.0
628,2.8,96.0
629,-10.9,73.0
630,-18.5,92.0
631,-39.2,-7.0
632,-62.7,-48.0
633,-23.0,114.0
634,-12.0,111.0
635,-18.7,114.0
636,-14.7,94.0
637,-16.4,86.0
638,-0.2,107.0
639,-19.6,105.0
640,-10.6,120.0
641,-17.6,115.0
642,-16.3,103.0
643,-27.2,128.0
644,-12.9,109.0
645,-4.6,97.0
646,-29.0,101.0
647,-11.1,119.0
648,8.8,111.0
649,-17.2,110.0
650,-27.6,108.0
651,3.3,103.0
652,-12.8,84.0
653,10.7,122.0
654,-0.9,88.0
655,-12.5,101.0
656,-8.4,103.0
657,-19.8,98.0
658,-19.2,108.0
659,2.5,97.0
660,-11.8,109.0
661,-23.1,100.0
662,-3.8,98.0
663,-7.2,102.0
664,1.0,111.0
665,-36.4,97.0
666,-22.3,111.0
667,-14.6,94.0
668,-6.5,75.0
669,-6.7,99.0
670,-12.5,92.0
671,-13.7,99.0
672,-21.2,113.0
673,-8.3,103.0
674,-10.0,100.0
675,-13.0,106.0
676,-10.4,110.0
677,-21.4,115.0
678,-0.9,92.0
679,-0.2,117.0
680,-20.0,110.0
681,-29.3,112.0
682,-17.0,118.0
683,-8.9,119.0
684,9.2,118.0
685,-6.8,131.0
686,6.6,130.0
687,-3.0,113.0
688,-22.9,131.0
689,-8.1,106.0
690,-42.7,107.0
691,-3.6,104.0
692,-22.5,118.0
693,-13.5,113.0
694,-26.4,117.0
695,-3.1,116.0
696,-19.1,120.0
697,-5.7,124.0
698,-0.1,118.0
699,-10.3,131.0
700,-21.4,113.0
701,-13.3,111.0
702,-11.7,102.0
703,1.0,122.0
704,-6.3,114.0
705,-9.3,122.0
706,-8.5,103.0
707,-18.0,98.0
708,-1.8,113.0
709,11.6,129.0
710,-4.9,125.0
711,5.1,121.0
712,14.8,133.0
713,11.7,132.0
714,-0.3,120.0
715,7.1,119.0
716,-18.1,91.0
717,-2.6,100.0
718,-2.4,103.0
719,-14.9,75.0
720,-25.9,98.0
721,0.8,101.0
722,-18.2,111.0
723,-12.0,109.0
724,-12.7,99.0
725,0.5,97.0
726,-28.0,78.0
727,-4.7,104.0
728,-30.7,109.0
729,-11.4,104.0
730,-3.0,97.0
731,-6.7,118.0
732,7.0,85.0
733,-1.3,106.0
734,-24.0,114.0
735,-17.4,112.0
736,-9.0,105.0
737,3.3,108.0
738,-3.7,121.0
739,3.2,114.0
740,3.2,-21.0
741,-41.0,114.0
742,-34.5,108.0
743,-5.3,108.0
744,-2.1,95.0
745,-25.8,100.0
746,-7.4,107.0
747,1.0,112.0
748,-0.6,112.0
749,-3.1,109.0
750,-9.7,101.0
751,8.9,109.0
752,-10.0,113.0
753,-18.2,104.0
754,-17.1,110.0
755,-18.7,122.0
756,-1.7,107.0
757,-33.1,112.0
758,-2.6,99.0
759,1.6,122.0
760,-12.5,107.0
761,5.5,133.0
762,-3.5,117.0
763,-18.8,126.0
764,-3.9,122.0
765,10.4,105.0
766,3.1,117.0
767,1.3,140.0
768,-5.8,124.0
769,-20.7,117.0
770,-18.4,116.0
771,-2.5,119.0
772,-22.6,141.0
773,-9.6,125.0
774,-30.5,119.0
775,-20.6,126.0
776,-19.4,129.0
777,24.2,134.0
778,-12.0,139.0
779,1.7,128.0
780,-25.2,132.0
781,-10.9,123.0
782,-14.7,116.0
783,-3.0,118.0
784,-31.7,117.0
785,-21.8,120.0
786,25.0,136.0
787,-4.4,121.0
788,-10.6,115.0
789,-25.7,108.0
790,-3.5,111.0
791,-8.8,124.0
792,-0.5,103.0
793,-10.2,125.0
794,0.2,128.0
795,14.2,109.0
796,-7.4,127.0
797,4.5,124.0
798,-3.0,126.0
799,5.1,140.0
800,-17.8,124.0
801,-10.1,130.0
802,-9.2,132.0
803,-9.0,139.0
804,-5.3,115.0
805,-9.1,126.0
806,-11.3,105.0
807,8.9,102.0
808,-7.4,97.0
809,1.6,116.0
810,8.3,130.0
811,-12.0,124.0
812,-8.7,115.0
813,-9.8,111.0
814,4.7,126.0
815,-4.8,111.0
816,-5.3,115.0
817,4.9,122.0
818,-9.9,120.0
819,9.4,131.0
820,-9.9,123.0
821,-5.2,116.0
822,0.4,121.0
823,18.6,138.0
824,-4.0,111.0
825,-5.7,117.0
826,-25.8,131.0
827,-16.5,132.0
828,-8.6,134.0
829,-17.9,132.0
830,4.8,130.0
831,-6.3,146.0
832,-22.1,141.0
833,-1.7,132.0
834,5.9,127.0
835,10.6,125.0
836,11.0,119.0
837,-4.3,112.0
838,-7.3,105.0
839,0.9,108.0
840,-18.5,115.0
841,-11.7,106.0
842,-21.8,113.0
843,-5.3,110.0
844,-12.4,117.0
845,-6.7,120.0
846,-10.3,108.0
847,-0.7,111.0
848,-2.9,95.0
849,2.7,98.0
850,-5.0,94.0
851,-3.8,87.0
852,-23.3,103.0
853,-19.9,110.0
854,-31.8,117.0
855,-0.6,120.0
856,-0.9,127.0
857,-18.7,126.0
858,1.0,113.0
859,-13.1,134.0
860,-0.8,105.0
861,-33.0,114.0
862,3.9,124.0
863,-28.4,107.0
864,-11.4,98.0
865,-27.0,116.0
866,-1.4,128.0
867,-22.2,117.0
868,-17.9,140.0
869,0.3,138.0
870,-26.6,142.0
871,-7.7,126.0
872,-9.8,129.0
873,-16.4,121.0
874,1.1,117.0
875,-6.4,114.0
876,2.0,116.0
877,-16.6,107.0
878,11.4,107.0
879,-15.0,129.0
880,-6.2,123.0
881,-21.5,111.0
882,-3.5,118.0
883,-9.5,125.0
884,0.2,132.0
885,7.1,120.0
886,-19.4,119.0
887,0.2,106.0
888,-19.9,112.0
889,3.7,119.0
890,-10.1,121.0
891,0.5,118.0
892,-24.9,124.0
893,-24.1,131.0
894,-10.0,125.0
895,-11.5,120.0
896,-2.4,125.0
897,-2.3,131.0
898,2.3,124.0
899,12.7,131.0
900,7.8,124.0
901,-3.7,131.0
902,-36.8,118.0
903,-16.7,131.0
904,-11.9,126.0
905,-4.0,140.0
906,22.5,128.0
907,3.2,121.0
908,-11.9,127.0
909,-1.7,127.0
910,9.1,115.0
911,-28.0,111.0
912,-23.0,108.0
913,-32.0,117.0
914,-22.9,117.0
915,0.6,114.0
916,5.6,114.0
917,-9.8,108.0
918,-6.9,107.0
919,-21.8,127.0
920,-11.1,111.0
921,-6.6,109.0
922,-8.2,99.0
923,-12.8,116.0
924,16.9,93.0
925,-3.5,93.0
926,-4.9,101.0
927,-7.4,98.0
928,-13.9,99.0
929,-21.8,111.0
930,-8.8,100.0
931,-5.0,121.0
932,-1.5,115.0
933,-3.0,121.0
934,-11.4,108.0
935,-29.6,129.0
936,-20.6,-73.0
937,-20.1,127.0
938,-21.1,117.0
939,-4.8,133.0
940,-13.2,116.0
941,7.8,110.0
942,-6.4,115.0
943,-12.1,113.0
944,-25.9,116.0
945,3.1,127.0
946,-21.3,144.0
947,-24.5,142.0
948,11.9,142.0
949,3.5,136.0
950,-6.5,140.0
951,6.6,136.0
952,-5.2,119.0
953,-10.9,130.0
954,-4.9,83.0
955,-21.1,112.0
956,-18.3,124.0
957,-3.1,134.0
958,9.7,132.0
959,-16.3,141.0
960,-38.9,129.0
961,-10.7,130.0
962,5.3,133.0
963,-14.9,143.0
964,-17.9,130.0
965,-19.9,120.0
966,0.9,130.0
967,9.3,109.0
968,8.3,107.0
969,-6.0,122.0
970,0.8,126.0
971,-16.7,104.0
972,-0.2,141.0
973,-0.6,127.0
974,-1.1,112.0
975,11.0,122.0
976,1.8,117.0
977,-5.6,117.0
978,-13.7,131.0
979,5.6,121.0
980,-21.3,131.0
981,-1.4,127.0
982,-11.4,136.0
983,-18.6,130.0
984,0.0,154.0
985,-7.5,132.0
986,-12.1,132.0
987,18.1,134.0
988,-23.2,141.0
989,-21.2,134.0
990,7.3,149.0
991,-6.3,142.0
992,1.4,146.0
993,-8.3,130.0
994,-0.8,148.0
995,10.7,139.0
996,-12.9,131.0
997,-15.2,141.0
998,2.0,126.0
999,-7.8,132.0
